Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
Public Utilities Fund,Resource Recovery,Pud-Wf Smith Crk Wwtp,Miscellaneous,0,1500,FALSE
Public Utilities Fund,Resource Recovery,Pud-Wf Smith Crk Wwtp,Salaries and Wages,-3461.03,304765.93,FALSE
Public Utilities Fund,Resource Recovery,Pud-Zebulon Little Crk Wwtp,Capital Equipment,0,5000,FALSE
Public Utilities Fund,Resource Recovery,Pud-Zebulon Little Crk Wwtp,Direct Expenses,16964,377646,FALSE
Public Utilities Fund,Resource Recovery,Pud-Zebulon Little Crk Wwtp,Employee Benefits,3636.75,76910.77,FALSE
Public Utilities Fund,Resource Recovery,Pud-Zebulon Little Crk Wwtp,Miscellaneous,0,6000,FALSE
Public Utilities Fund,Resource Recovery,Pud-Zebulon Little Crk Wwtp,Salaries and Wages,14620.31,275737.51,FALSE
Public Utilities Fund,Resource Recovery,Remote Facility Maint-Pu,Capital Equipment,-7500,37500,FALSE
Public Utilities Fund,Resource Recovery,Remote Facility Maint-Pu,Direct Expenses,573943,2512411,FALSE
Public Utilities Fund,Resource Recovery,Remote Facility Maint-Pu,Employee Benefits,5899.83,355039.62,FALSE
Public Utilities Fund,Resource Recovery,Remote Facility Maint-Pu,Salaries and Wages,36307.74,1274432.41,FALSE
Public Utilities Fund,Resource Recovery,Sludge Disp-Pub Util,Capital Equipment,0,12500,FALSE
Public Utilities Fund,Resource Recovery,Sludge Disp-Pub Util,Direct Expenses,107405,2499017,FALSE
Public Utilities Fund,Resource Recovery,Sludge Disp-Pub Util,Employee Benefits,10876.58,215747.93,FALSE
Public Utilities Fund,Resource Recovery,Sludge Disp-Pub Util,Miscellaneous,30273,56773,FALSE
Public Utilities Fund,Resource Recovery,Sludge Disp-Pub Util,Salaries and Wages,59134.79,718620.58,FALSE
Public Utilities Fund,Resource Recovery,Supervision-Pub Util,Capital Equipment,0,5000,FALSE
Public Utilities Fund,Resource Recovery,Supervision-Pub Util,Direct Expenses,110843,405091,FALSE
Public Utilities Fund,Resource Recovery,Supervision-Pub Util,Employee Benefits,2926.05,175131.33,FALSE
Public Utilities Fund,Resource Recovery,Supervision-Pub Util,Miscellaneous,0,118500,FALSE
Public Utilities Fund,Resource Recovery,Supervision-Pub Util,Salaries and Wages,16191.14,696531.86,FALSE
RCC/PAC Debt Svc Fund,Treasury Office,Convention Ctr Debt Svc,Capital Project Expense,15000,16834000,FALSE
RCC/PAC Debt Svc Fund,Treasury Office,Convention Ctr Debt Svc,Direct Expenses,-80,1590920,FALSE
RCC/PAC Debt Svc Fund,Treasury Office,Non Program Expenditures,Capital Project Expense,0,73000,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Direct Expenses,-3109.59,15605.41,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Employee Benefits,65225.81,169800.17,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Interfund Transfers In/Out,-2834.68,98306.32,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Miscellaneous,30,8590,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Other Expense,-2702,105453,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Administrative,Salaries and Wages,-5059.68,329673.25,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Capital Equipment,0,10000,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Direct Expenses,-48676,928720,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Employee Benefits,23492.36,555926.46,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Interfund Transfers In/Out,30353,619494,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Miscellaneous,19450.76,42250.76,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Other Expense,384662,2182199,FALSE
RCC/PAC Operations Fund,Performing Arts Center,Performing Arts Center,Salaries and Wages,43515.62,2350044.63,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Direct Expenses,491,5445,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Employee Benefits,13265.7,37439.66,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Interfund Transfers In/Out,-749.68,26022.32,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Miscellaneous,-1210,500,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Other Expense,-715,27914,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,Administrative,Salaries and Wages,1894.82,88113.82,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Direct Expenses,-1399.85,194670.15,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Employee Benefits,13810.24,66617.47,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Interfund Transfers In/Out,5963,293072,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Miscellaneous,36620.34,77720.34,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Other Expense,544936,1298000,FALSE
RCC/PAC Operations Fund,RCC Downtown Amphitheatre,General/Fixed Costs,Salaries and Wages,63247.7,258052.24,FALSE
RCC/PAC Operations Fund,RCC Facility,Administrative,Direct Expenses,-3655,30885,FALSE
RCC/PAC Operations Fund,RCC Facility,Administrative,Employee Benefits,113639.71,330395.89,FALSE
RCC/PAC Operations Fund,RCC Facility,Administrative,Interfund Transfers In/Out,-4751.64,164807.36,FALSE
RCC/PAC Operations Fund,RCC Facility,Administrative,Miscellaneous,-570,10760,FALSE
RCC/PAC Operations Fund,RCC Facility,Administrative,Other Expense,-4532,176789,FALSE
RCC/PAC Operations Fund,RCC Facility,Administrative,Salaries and Wages,-9865.4,565800.97,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Capital Equipment,0,10000,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Direct Expenses,-895525.98,2071837.82,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Employee Benefits,-38631.9,691668.35,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Interfund Transfers In/Out,-46124,714450,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Miscellaneous,12600,42600,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Other Expense,27000,148500,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center,Salaries and Wages,-155342.57,2429755.47,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,Direct Expenses,-1900,299400,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,Employee Benefits,-9431.89,88255.68,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,Miscellaneous,2908,170508,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,Other Expense,0,100000,FALSE
RCC/PAC Operations Fund,RCC Facility,Convention Center Promotions,Salaries and Wages,-1173.91,361041.88,FALSE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Direct Expenses,40590,96690,FALSE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Employee Benefits,918.5,4216,FALSE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Interfund Transfers In/Out,9991,13382,FALSE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Miscellaneous,15000,57000,FALSE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Other Expense,47900,234900,FALSE
RCC/PAC Operations Fund,RCC/PAC Special Events,Special Events Costs,Salaries and Wages,13000,48000,FALSE
Revolving Fund,City Manager,Environmental Awards Program,Direct Expenses,-8450,,FALSE
Revolving Fund,City Manager,Environmental Awards Program,Miscellaneous,-1050,,FALSE
Revolving Fund,Community Svcs,Citizen Involvment,Direct Expenses,0,30000,FALSE
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,Direct Expenses,0,210000,FALSE
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,Employee Benefits,0,30000,FALSE
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,Miscellaneous,0,10000,FALSE
Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,Salaries and Wages,0,50000,FALSE
Revolving Fund,Fire Training,Fire-Usar Team Expd,Direct Expenses,8971,167381,FALSE
Revolving Fund,Fire Training,Fire-Usar Team Expd,Miscellaneous,5000,9000,FALSE
Revolving Fund,Inspections,Inspections Training Program,Direct Expenses,0,1400,FALSE
Revolving Fund,Office of Sustainability,Environmental Awards Program,Direct Expenses,8450,8450,FALSE
Revolving Fund,Office of Sustainability,Environmental Awards Program,Miscellaneous,1050,1050,FALSE
Revolving Fund,Planning,Appearance Commission,Direct Expenses,6000,8000,FALSE
Revolving Fund,Planning,Ral Historic District Loan Fun,Capital Project Expense,23610,23610,FALSE
Revolving Fund,Police Administrative Services,Community Watch Signs,Direct Expenses,0,4940,FALSE
Revolving Fund,Police Administrative Services,Police Donations,Direct Expenses,20000,24000,FALSE
Revolving Fund,PRCR - Business Process Mgmt,PR Program Fee Assistance,Direct Expenses,-19000,16000,FALSE
Revolving Fund,PRCR - Parks - Urban Trees,Neighborhood Street Trees,Direct Expenses,-3000,60000,FALSE
Revolving Fund,PRCR - Parks -Park Maintenance,Parks Donations,Direct Expenses,30000,55000,FALSE
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Direct Expenses,15000,15000,FALSE
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Employee Benefits,-1112,737,FALSE
Revolving Fund,PRCR - Parks -Park Maintenance,Third Party Events,Salaries and Wages,-6151,5000,FALSE
Revolving Fund,PRCR - Recreation,Adventure Camps,Direct Expenses,-16410.57,50388.43,FALSE
Revolving Fund,PRCR - Recreation,Adventure Camps,Employee Benefits,-0.03,2331.57,FALSE
Revolving Fund,PRCR - Recreation,Adventure Camps,Interfund Transfers In/Out,-95,1266,FALSE
Revolving Fund,PRCR - Recreation,Adventure Camps,Miscellaneous,1500,5200,FALSE
Revolving Fund,PRCR - Recreation,Adventure Camps,Other Expense,-29,651,FALSE
Revolving Fund,PRCR - Recreation,Adventure Camps,Salaries and Wages,-0.4,30478,FALSE
Revolving Fund,PRCR - Recreation,Anderson Point,Direct Expenses,-29.13,26724.87,FALSE
Revolving Fund,PRCR - Recreation,Anderson Point,Employee Benefits,19.13,1090.13,FALSE
Revolving Fund,PRCR - Recreation,Anderson Point,Interfund Transfers In/Out,-259,631,FALSE
Revolving Fund,PRCR - Recreation,Anderson Point,Miscellaneous,0,2000,FALSE
Revolving Fund,PRCR - Recreation,Anderson Point,Other Expense,19,304,FALSE
Revolving Fund,PRCR - Recreation,Anderson Point,Salaries and Wages,250,14250,FALSE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Direct Expenses,-27657,261666,FALSE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Employee Benefits,0,15300,FALSE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Interfund Transfers In/Out,3580,6961,FALSE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Miscellaneous,900,8500,FALSE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Other Expense,-23,4273,FALSE
Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Salaries and Wages,0,200000,FALSE
Revolving Fund,PRCR - Recreation,Athletics,Direct Expenses,-28509.5,233864,FALSE
Revolving Fund,PRCR - Recreation,Athletics,Employee Benefits,-382.5,765,FALSE
Revolving Fund,PRCR - Recreation,Athletics,Interfund Transfers In/Out,2102,3602,FALSE
Revolving Fund,PRCR - Recreation,Athletics,Miscellaneous,-945,8555,FALSE
Revolving Fund,PRCR - Recreation,Athletics,Other Expense,-265,214,FALSE
Revolving Fund,PRCR - Recreation,Athletics,Salaries and Wages,-5000,10000,FALSE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Direct Expenses,174062,419730,FALSE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Employee Benefits,0,1530,FALSE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Interfund Transfers In/Out,401,7968,FALSE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Miscellaneous,-1055,13945,FALSE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Other Expense,192,427,FALSE
Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Salaries and Wages,0,20000,FALSE
Revolving Fund,PRCR - Recreation,Esl Program,Direct Expenses,1633.5,6783.5,FALSE
Revolving Fund,PRCR - Recreation,Esl Program,Employee Benefits,76.5,76.5,FALSE
Revolving Fund,PRCR - Recreation,Esl Program,Interfund Transfers In/Out,119,119,FALSE
Revolving Fund,PRCR - Recreation,Esl Program,Miscellaneous,0,500,FALSE
Revolving Fund,PRCR - Recreation,Esl Program,Other Expense,21,21,FALSE
Revolving Fund,PRCR - Recreation,Esl Program,Salaries and Wages,1000,1000,FALSE
Revolving Fund,PRCR - Recreation,General Recreation,Direct Expenses,-222600,,FALSE
Revolving Fund,PRCR - Recreation,General Recreation,Employee Benefits,-2524.5,,FALSE
Revolving Fund,PRCR - Recreation,General Recreation,Interfund Transfers In/Out,-19975,,FALSE
Revolving Fund,PRCR - Recreation,General Recreation,Other Expense,-400.5,,FALSE
Revolving Fund,PRCR - Recreation,General Recreation,Salaries and Wages,-33000,,FALSE
Revolving Fund,PRCR - Recreation,Golden Years,Direct Expenses,32678.5,160278.5,FALSE
Revolving Fund,PRCR - Recreation,Golden Years,Employee Benefits,1147.5,7267.5,FALSE
Revolving Fund,PRCR - Recreation,Golden Years,Interfund Transfers In/Out,3574,3924,FALSE
Revolving Fund,PRCR - Recreation,Golden Years,Miscellaneous,6800,11500,FALSE
Revolving Fund,PRCR - Recreation,Golden Years,Other Expense,800,2030,FALSE
Revolving Fund,PRCR - Recreation,Golden Years,Salaries and Wages,15000,95000,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Direct Expenses,-39979,259790,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Employee Benefits,-1310.98,,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Interfund Transfers In/Out,-60000,,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Miscellaneous,-1100,5000,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Other Expense,-683,,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Salaries and Wages,-17137,,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Direct Expenses,11225,197755,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Employee Benefits,0,3825,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Miscellaneous,775,32375,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Other Expense,0,1045.01,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Salaries and Wages,0,50000,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Direct Expenses,-7617.5,79000,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Employee Benefits,-382.5,,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Salaries and Wages,-5000,,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Capital Equipment,2463.29,70084.36,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,-176075.89,2123647.71,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Employee Benefits,-7812.24,111070.17,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Interfund Transfers In/Out,3375.37,55488,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Miscellaneous,23109.66,134524.75,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Other Expense,-2553.21,30323,FALSE
Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Salaries and Wages,-109888,1434312,FALSE
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Direct Expenses,2897.75,22606.5,FALSE
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Employee Benefits,38.25,229.5,FALSE
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Miscellaneous,0,100,FALSE
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Other Expense,64,64,FALSE
Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Salaries and Wages,500,3000,FALSE
Revolving Fund,PRCR - Recreation,Teen Programs,Direct Expenses,-31074.16,260437,FALSE
Revolving Fund,PRCR - Recreation,Teen Programs,Employee Benefits,-765,6885,FALSE
Revolving Fund,PRCR - Recreation,Teen Programs,Interfund Transfers In/Out,2069.58,5255,FALSE
Revolving Fund,PRCR - Recreation,Teen Programs,Miscellaneous,-4500,10500,FALSE
Revolving Fund,PRCR - Recreation,Teen Programs,Other Expense,-730.42,1923,FALSE
Revolving Fund,PRCR - Recreation,Teen Programs,Salaries and Wages,-10000,90000,FALSE
Revolving Fund,PRCR - Recreation,Tennis,Direct Expenses,-3364.37,178144.5,FALSE
Revolving Fund,PRCR - Recreation,Tennis,Employee Benefits,0,16190.5,FALSE
Revolving Fund,PRCR - Recreation,Tennis,Interfund Transfers In/Out,3287.7,5788,FALSE
Revolving Fund,PRCR - Recreation,Tennis,Miscellaneous,-369,5331,FALSE
Revolving Fund,PRCR - Recreation,Tennis,Other Expense,3445.67,6546,FALSE
Revolving Fund,PRCR - Recreation,Tennis,Salaries and Wages,0,201000,FALSE
Revolving Fund,PRCR - Recreation,Tucker Mansion,Direct Expenses,7298,23533,FALSE
Revolving Fund,PRCR - Recreation,Tucker Mansion,Employee Benefits,0,765,FALSE
Revolving Fund,PRCR - Recreation,Tucker Mansion,Interfund Transfers In/Out,-266,491,FALSE
Revolving Fund,PRCR - Recreation,Tucker Mansion,Other Expense,-32,211,FALSE
Revolving Fund,PRCR - Recreation,Tucker Mansion,Salaries and Wages,0,10000,FALSE
Revolving Fund,PRCR - Recreation,Vhip,Direct Expenses,3105.42,32390.75,FALSE
Revolving Fund,PRCR - Recreation,Vhip,Employee Benefits,-650.25,1415.25,FALSE
Revolving Fund,PRCR - Recreation,Vhip,Interfund Transfers In/Out,-4201,799,FALSE
Revolving Fund,PRCR - Recreation,Vhip,Miscellaneous,0,3500,FALSE
Revolving Fund,PRCR - Recreation,Vhip,Other Expense,-154.17,395,FALSE
Revolving Fund,PRCR - Recreation,Vhip,Salaries and Wages,-8500,18500,FALSE
Revolving Fund,PRCR - Recreation,Youth Programs,Direct Expenses,42352.37,373862,FALSE
Revolving Fund,PRCR - Recreation,Youth Programs,Employee Benefits,3825,11475,FALSE
Revolving Fund,PRCR - Recreation,Youth Programs,Interfund Transfers In/Out,6287.49,7708,FALSE
Revolving Fund,PRCR - Recreation,Youth Programs,Miscellaneous,3150,3750,FALSE
Revolving Fund,PRCR - Recreation,Youth Programs,Other Expense,1385.14,3205,FALSE
Revolving Fund,PRCR - Recreation,Youth Programs,Salaries and Wages,50000,150000,FALSE
Revolving Fund,PRCR - Resources,Arts Commission,Direct Expenses,0,85535,FALSE
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Capital Equipment,0,395000,FALSE
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Direct Expenses,13000,13000,FALSE
Revolving Fund,Public Affairs-RTN,Ctv Equipment,Other Expense,0,40000,FALSE
Sewer Reuse/Infrastructure Fd,Non-Departmental,Non-Program Revenues,Interfund Transfers In/Out,2422911,8535000,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Engineering-Storm,Direct Expenses,-8458,16576,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Engineering-Storm,Employee Benefits,3533.66,164223.48,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Engineering-Storm,Miscellaneous,2700,11200,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Engineering-Storm,Salaries and Wages,26651.58,593042.43,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Inspections-Storm,Direct Expenses,-24046,53382,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Inspections-Storm,Employee Benefits,-20919.45,145119.46,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Inspections-Storm,Miscellaneous,-1700,5000,FALSE
Stormwater Utility Fund,Stormwater Management,Conservation Inspections-Storm,Salaries and Wages,-49235.75,433003.72,FALSE
Stormwater Utility Fund,Stormwater Management,Drainage Petitions,Direct Expenses,13193,13193,FALSE
Stormwater Utility Fund,Stormwater Management,Drainage Petitions,Employee Benefits,17165.6,134397.68,FALSE
Stormwater Utility Fund,Stormwater Management,Drainage Petitions,Miscellaneous,4100,4100,FALSE
Stormwater Utility Fund,Stormwater Management,Drainage Petitions,Salaries and Wages,99060.43,506267.32,FALSE
Stormwater Utility Fund,Stormwater Management,Infrastructure Mgmt-Stormwtr,Direct Expenses,-15509,43564,FALSE
Stormwater Utility Fund,Stormwater Management,Infrastructure Mgmt-Stormwtr,Employee Benefits,-21770.2,92583.9,FALSE
Stormwater Utility Fund,Stormwater Management,Infrastructure Mgmt-Stormwtr,Miscellaneous,1000,3000,FALSE
Stormwater Utility Fund,Stormwater Management,Infrastructure Mgmt-Stormwtr,Salaries and Wages,-66920.63,285027.12,FALSE
Stormwater Utility Fund,Stormwater Management,Non Program Expenditures,Direct Expenses,-176044.52,129147.42,FALSE
Stormwater Utility Fund,Stormwater Management,Non Program Expenditures,Interfund Transfers In/Out,985804,11713800,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Capital Equipment,5000,5000,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Direct Expenses,182822,422655,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Employee Benefits,-34124.77,378456.71,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Interfund Transfers In/Out,-94220,371479,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Miscellaneous,-3580,25500,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Other Expense,-83579,108865,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Administration,Salaries and Wages,-177991.75,655775.98,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Services,Direct Expenses,265,29208,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Services,Employee Benefits,23544.37,149317.02,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Services,Miscellaneous,-4220,4750,FALSE
Stormwater Utility Fund,Stormwater Management,Stormwater Services,Salaries and Wages,56901.65,482678.9,FALSE
Stormwater Utility Fund,Stormwater Management,Water Quality-Stormwtr,Capital Equipment,0,1000,FALSE
Stormwater Utility Fund,Stormwater Management,Water Quality-Stormwtr,Direct Expenses,17538,80557,FALSE
Stormwater Utility Fund,Stormwater Management,Water Quality-Stormwtr,Employee Benefits,66671.2,115460.76,FALSE
Stormwater Utility Fund,Stormwater Management,Water Quality-Stormwtr,Miscellaneous,6800,35700,FALSE
Stormwater Utility Fund,Stormwater Management,Water Quality-Stormwtr,Salaries and Wages,236768.58,435657.1,FALSE
Stormwater Utility Fund,Treasury Office,Sewer Revolving Loan Principal,Capital Project Expense,93012,100000,FALSE
SWS Debt Service Fund,Treasury Office,CELPSC Remote Ops COPS Ser 200,Capital Project Expense,-2400,112600,FALSE
SWS Debt Service Fund,Treasury Office,Remote Ops Fac-Set 2010,Capital Project Expense,-27600,1412400,FALSE
SWS Debt Service Fund,Treasury Office,Transfer Station-Sws Debt Serv,Capital Project Expense,2000,513000,FALSE
SWS Operating Fund,Solid Waste Admin,Bldg Maint-SWS Facilities,Direct Expenses,19190,200055,FALSE
SWS Operating Fund,Solid Waste Admin,Bldg Maint-SWS Facilities,Interfund Transfers In/Out,1900,13000,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Capital Equipment,45560.91,49760.91,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Direct Expenses,582058.67,1110869.42,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Employee Benefits,48597.55,930782.92,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Interfund Transfers In/Out,128674,5272629,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Miscellaneous,5039,20382,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Other Expense,-31311,476962,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Administration,Salaries and Wages,195469.87,839528.55,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Code Enforcement,Capital Equipment,-10600,1400,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Code Enforcement,Direct Expenses,39733.06,49526.08,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Code Enforcement,Employee Benefits,36152.75,113605.08,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Code Enforcement,Miscellaneous,1329,9468,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Code Enforcement,Salaries and Wages,147111.86,370456.13,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Education/Outreach,Direct Expenses,-1281.56,28585.44,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Education/Outreach,Employee Benefits,12450.01,48222.07,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Education/Outreach,Miscellaneous,1365,115916,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Education/Outreach,Salaries and Wages,53936.25,185386.24,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-GIS,Capital Equipment,219300,600000,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-GIS,Direct Expenses,96198.64,118940.64,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-GIS,Employee Benefits,-80687.07,24161.35,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-GIS,Miscellaneous,-152,4925,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-GIS,Salaries and Wages,-254885.63,96929.38,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Safety & Training,Capital Equipment,0,700,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Safety & Training,Direct Expenses,2017.92,35679.92,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Safety & Training,Employee Benefits,1332.07,37359.02,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Safety & Training,Miscellaneous,51999,57500,FALSE
SWS Operating Fund,Solid Waste Admin,SWS-Safety & Training,Salaries and Wages,972.35,102000.38,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Residential Recycling,Capital Equipment,-221142,222658,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Residential Recycling,Direct Expenses,55295,2516762,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Residential Recycling,Employee Benefits,46014.99,575252.61,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Residential Recycling,Miscellaneous,13376,16476,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Residential Recycling,Salaries and Wages,144200.19,1874822.91,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Yard Waste Collection,Employee Benefits,-18302.61,,FALSE
SWS Operating Fund,Solid Waste Recycling,SWS-Yard Waste Collection,Salaries and Wages,-47588.3,,FALSE
SWS Operating Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Direct Expenses,222730,300117,FALSE
