Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
General Fund,Police Field Operations,Salaries and Wages,Range Increase,-852.49,0,false,0
General Fund,Police Special Operations,Employee Benefits,Police 401K Temp,-19804,0,false,0
General Fund,Police Special Operations,Salaries and Wages,Earnings Offset,-49926,0,false,0
General Fund,Police Special Operations,Salaries and Wages,Merit Increase,-174.48,0,false,0
General Fund,Police Special Operations,Salaries and Wages,Range Increase,-174.48,0,false,0
General Fund,PRCR - Business Process Mgmt,Direct Expenses,Cellular/Wireless Voice Lines,-300,0,false,0
General Fund,PRCR - Business Process Mgmt,Salaries and Wages,Earnings Offset,-3577,0,false,0
General Fund,PRCR - Business Process Mgmt,Salaries and Wages,Merit Increase,-43.81,0,false,0
General Fund,PRCR - Business Process Mgmt,Salaries and Wages,Range Increase,-43.81,0,false,0
General Fund,PRCR - F&O - City Fac Maint,Direct Expenses,Professional Svcs-Other,-102824.02,0,false,0
General Fund,PRCR - F&O - City Fac Maint,Salaries and Wages,Earnings Offset,345,0,false,0
General Fund,PRCR - F&O - City Fac Maint,Salaries and Wages,Merit Increase,-75.35,0,false,0
General Fund,PRCR - F&O - City Fac Maint,Salaries and Wages,Range Increase,-75.35,0,false,0
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,Earnings Offset,-775,0,false,0
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,Merit Increase,-69.1,0,false,0
General Fund,PRCR - F&O - Park Fac Maint,Salaries and Wages,Range Increase,-69.1,0,false,0
General Fund,PRCR - Parks - Cemetery Maint,Salaries and Wages,Merit Increase,-11.68,0,false,0
General Fund,PRCR - Parks - Cemetery Maint,Salaries and Wages,Range Increase,-11.68,0,false,0
General Fund,PRCR - Parks - Greenway Maint,Capital Equipment,Communications Equip,-625,0,false,0
General Fund,PRCR - Parks - Greenway Maint,Salaries and Wages,Earnings Offset,-1374,0,false,0
General Fund,PRCR - Parks - Greenway Maint,Salaries and Wages,Merit Increase,-55.07,0,false,0
General Fund,PRCR - Parks - Greenway Maint,Salaries and Wages,Range Increase,-55.07,0,false,0
General Fund,PRCR - Parks - Highway Maint,Capital Equipment,Communications Equip,-625,0,false,0
General Fund,PRCR - Parks - Highway Maint,Salaries and Wages,Earnings Offset,-592,0,false,0
General Fund,PRCR - Parks - Highway Maint,Salaries and Wages,Merit Increase,-57.62,0,false,0
General Fund,PRCR - Parks - Highway Maint,Salaries and Wages,Range Increase,-57.62,0,false,0
General Fund,PRCR - Parks - Urban Trees,Capital Equipment,Communications Equip,-2500,0,false,0
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,Earnings Offset,-368,0,false,0
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,Merit Increase,-36.97,0,false,0
General Fund,PRCR - Parks - Urban Trees,Salaries and Wages,Range Increase,-36.97,0,false,0
General Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,Earnings Offset,-9004,0,false,0
General Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,Merit Increase,-290.29,0,false,0
General Fund,PRCR - Parks -Park Maintenance,Salaries and Wages,Range Increase,-290.29,0,false,0
General Fund,PRCR - Recreation,Direct Expenses,Repairs-Other Equip,-1000,0,false,0
General Fund,PRCR - Recreation,Direct Expenses,Telephone/Comm (Hard Lines),-2750,0,false,0
General Fund,PRCR - Recreation,Salaries and Wages,Earnings Offset,-1842,0,false,0
General Fund,PRCR - Recreation,Salaries and Wages,Merit Increase,-294.14,0,false,0
General Fund,PRCR - Recreation,Salaries and Wages,Range Increase,-294.14,0,false,0
General Fund,PRCR - Recreation,Salaries and Wages,Salary Reserve,-5831,0,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Computer Operations & Access,-250,0,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Office Supplies,-1200,0,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Small Equipment,-1500,0,false,0
General Fund,PRCR - Recreation-School Based,Direct Expenses,Transportation Svcs,-1000,0,false,0
General Fund,PRCR - Recreation-School Based,Miscellaneous,Training & Travel & Reg,-2000,0,false,0
General Fund,PRCR - Recreation-School Based,Salaries and Wages,Earnings Offset,-1247,0,false,0
General Fund,PRCR - Recreation-School Based,Salaries and Wages,Merit Increase,-12.33,0,false,0
General Fund,PRCR - Recreation-School Based,Salaries and Wages,Range Increase,-12.33,0,false,0
General Fund,PRCR - Resources,Salaries and Wages,Merit Increase,-147.9,0,false,0
General Fund,PRCR - Resources,Salaries and Wages,Range Increase,-147.9,0,false,0
General Fund,PRCR - Strategic Plan & Devel,Salaries and Wages,Earnings Offset,-4303,0,false,0
General Fund,PRCR - Strategic Plan & Devel,Salaries and Wages,Merit Increase,-132.48,0,false,0
General Fund,PRCR - Strategic Plan & Devel,Salaries and Wages,Range Increase,-132.48,0,false,0
General Fund,Public Affairs,Salaries and Wages,Earnings Offset,-327,0,false,0
General Fund,Public Affairs,Salaries and Wages,Merit Increase,-63.74,0,false,0
General Fund,Public Affairs,Salaries and Wages,Range Increase,-63.74,0,false,0
General Fund,Public Affairs-RTN,Salaries and Wages,Earnings Offset,-1405,0,false,0
General Fund,Public Affairs-RTN,Salaries and Wages,Merit Increase,-35.2,0,false,0
General Fund,Public Affairs-RTN,Salaries and Wages,Range Increase,-35.2,0,false,0
General Fund,Public Works,Other Expense,Grant Match City Share,-91291,0,false,0
General Fund,Public Works,Salaries and Wages,Earnings Offset,-5393,0,false,0
General Fund,Public Works,Salaries and Wages,Merit Increase,-332.25,0,false,0
General Fund,Public Works,Salaries and Wages,Range Increase,-332.25,0,false,0
General Fund,Purchasing,Salaries and Wages,Merit Increase,-28.89,0,false,0
General Fund,Purchasing,Salaries and Wages,Range Increase,-28.89,0,false,0
General Fund,PW-Safelight,Salaries and Wages,Longevity,-661.55,0,false,0
General Fund,PW-Safelight,Salaries and Wages,Merit Increase,-6.62,0,false,0
General Fund,PW-Safelight,Salaries and Wages,Range Increase,-6.62,0,false,0
General Fund,Revenue,Direct Expenses,Wireless Data Comm,-2000,0,false,0
General Fund,Revenue,Salaries and Wages,Earnings Offset,-2516,0,false,0
General Fund,Revenue,Salaries and Wages,Merit Increase,-49.11,0,false,0
General Fund,Revenue,Salaries and Wages,Range Increase,-49.11,0,false,0
General Fund,Special Appropriations,Direct Expenses,Repairs-Bldg/Structure,-250000,0,false,0
General Fund,Special Appropriations,Direct Expenses,Storm Water Utility Fees,-10000,0,false,0
General Fund,Special Appropriations,Interfund Transfers In/Out,To 251 Equip Replacement-Gen G,-1540000,0,false,0
General Fund,Stormwater Street Maintenance,Salaries and Wages,Earnings Offset,-2127,0,false,0
General Fund,Stormwater Street Maintenance,Salaries and Wages,Merit Increase,-85.43,0,false,0
General Fund,Stormwater Street Maintenance,Salaries and Wages,Range Increase,-85.43,0,false,0
General Fund,Transportation Field Services,Direct Expenses,Repairs-Office Equip,-500,0,false,0
General Fund,Transportation Field Services,Direct Expenses,Rsv-Wide Area Network,-1629,0,false,0
General Fund,Transportation Field Services,Salaries and Wages,Earnings Offset,-5391,0,false,0
General Fund,Transportation Field Services,Salaries and Wages,Merit Increase,-219.66,0,false,0
General Fund,Transportation Field Services,Salaries and Wages,Range Increase,-219.66,0,false,0
General Fund,Treasury Office,Salaries and Wages,Earnings Offset,-697,0,false,0
General Fund,Treasury Office,Salaries and Wages,Merit Increase,-37.06,0,false,0
General Fund,Treasury Office,Salaries and Wages,Range Increase,-37.06,0,false,0
Home Grant,Community Development,Employee Benefits,Employee Benefits,-23449,0,false,0
Home Grant,Community Development,Salaries and Wages,Salary Reserve,-86005,0,false,0
Housing Development-Operating,Community Development,Direct Expenses,Cellular/Wireless Voice Lines,-200,0,false,0
Housing Development-Operating,Community Development,Direct Expenses,Operational & Maint Supplies,-289,0,false,0
Housing Development-Operating,Community Development,Employee Benefits,Employee Benefits,916550,0,false,0
Housing Development-Operating,Community Development,Employee Benefits,Group Life AD & D (Retiree),-329,0,false,0
Housing Development-Operating,Community Development,Employee Benefits,Health Insurance (Retiree),-29940,0,false,0
Housing Development-Operating,Community Development,Employee Benefits,Medicare Supplement,-1800,0,false,0
Housing Development-Operating,Community Development,Salaries and Wages,Expense Allowance,-3922,0,false,0
Housing Development-Operating,Community Development,Salaries and Wages,Merit Increase,-108.93,0,false,0
Housing Development-Operating,Community Development,Salaries and Wages,Range Increase,-108.93,0,false,0
Housing Development-Operating,Community Development,Salaries and Wages,Salary Reserve,0.82,0,false,0
Housing Development-Projects,Community Development,Interfund Transfers In/Out,To 100 General Fd,-500000,0,false,0
Parking Facilities Fund-Operat,Parking Operations,Capital Equipment,Office Furniture & Equip,-26200,0,false,0
Parking Facilities Fund-Operat,Parking Operations,Salaries and Wages,Earnings Offset,-379.76,0,false,0
Parking Facilities Fund-Operat,Parking Operations,Salaries and Wages,Merit Increase,-98.6,0,false,0
Parking Facilities Fund-Operat,Parking Operations,Salaries and Wages,Range Increase,-98.6,0,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Direct Expenses,Wireless Data Comm,-1580,0,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Miscellaneous,Mileage Reimb,-250,0,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Miscellaneous,Training & Travel & Reg,-1000,0,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,Earnings Offset,-294,0,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,Merit Increase,-20.17,0,false,0
Public Transit Fund-Operating,Accessible Raleigh Transit,Salaries and Wages,Range Increase,-20.17,0,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Group Life AD & D (Retiree),-38,0,false,0
Public Transit Fund-Operating,Transit Operations,Employee Benefits,Opeb- Post Employment Benefits,-1684,0,false,0
Public Transit Fund-Operating,Transit Operations,Miscellaneous,Advertising,-1200,0,false,0
Public Transit Fund-Operating,Transit Operations,Other Expense,Grant Match City Share,-55174,0,false,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Earnings Offset,-445.25,0,false,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Merit Increase,-13.13,0,false,0
Public Transit Fund-Operating,Transit Operations,Salaries and Wages,Range Increase,-13.13,0,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Salaries and Wages,Earnings Offset,-1989,0,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Salaries and Wages,Merit Increase,-111.27,0,false,0
Public Utilities Fund,PU Capital Improvement Mgmt,Salaries and Wages,Range Increase,-111.27,0,false,0
Public Utilities Fund,PU Facilities Support,Salaries and Wages,Earnings Offset,-645,0,false,0
Public Utilities Fund,PU Facilities Support,Salaries and Wages,Merit Increase,-31.64,0,false,0
Public Utilities Fund,PU Facilities Support,Salaries and Wages,Range Increase,-31.64,0,false,0
Public Utilities Fund,PU Meters,Salaries and Wages,Merit Increase,-140.55,0,false,0
Public Utilities Fund,PU Meters,Salaries and Wages,Range Increase,-140.55,0,false,0
Public Utilities Fund,PU Sewer Maintenance,Capital Equipment,Communications Equip,-4800,0,false,0
Public Utilities Fund,PU Sewer Maintenance,Capital Equipment,Motor Vehicle Access/Upfit,-16000,0,false,0
Public Utilities Fund,PU Sewer Maintenance,Salaries and Wages,Earnings Offset,-9850,0,false,0
Public Utilities Fund,PU Sewer Maintenance,Salaries and Wages,Merit Increase,-167.77,0,false,0
Public Utilities Fund,PU Sewer Maintenance,Salaries and Wages,Range Increase,-167.77,0,false,0
Public Utilities Fund,PU Utility Billing,Salaries and Wages,Earnings Offset,-2265,0,false,0
Public Utilities Fund,PU Utility Billing,Salaries and Wages,Merit Increase,-138.07,0,false,0
Public Utilities Fund,PU Utility Billing,Salaries and Wages,Range Increase,-138.07,0,false,0
Public Utilities Fund,PU Water Distribution,Salaries and Wages,Earnings Offset,-3405,0,false,0
Public Utilities Fund,PU Water Distribution,Salaries and Wages,Merit Increase,-198.72,0,false,0
Public Utilities Fund,PU Water Distribution,Salaries and Wages,Range Increase,-198.72,0,false,0
Public Utilities Fund,PU Water Plant,Salaries and Wages,Earnings Offset,-5515,0,false,0
Public Utilities Fund,PU Water Plant,Salaries and Wages,Merit Increase,-216.36,0,false,0
Public Utilities Fund,PU Water Plant,Salaries and Wages,Range Increase,-216.36,0,false,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Earnings Offset,-5442,0,false,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Merit Increase,-170.62,0,false,0
Public Utilities Fund,Public Utilities Admin,Salaries and Wages,Range Increase,-170.62,0,false,0
Public Utilities Fund,Public Utilities-Spec Appropri,Interfund Transfers In/Out,To 315-Sewer Cap Fac Growth,-2382000,0,false,0
Public Utilities Fund,Public Utilities-Spec Appropri,Interfund Transfers In/Out,To 315-Water Cap Fac Growth,-2198000,0,false,0
Public Utilities Fund,Public Utilities-Spec Appropri,Interfund Transfers In/Out,To 320 Watershed Protection,-1500000,0,false,0
Public Utilities Fund,Resource Recovery,Salaries and Wages,Earnings Offset,-1840,0,false,0
Public Utilities Fund,Resource Recovery,Salaries and Wages,Merit Increase,-353.21,0,false,0
Public Utilities Fund,Resource Recovery,Salaries and Wages,Range Increase,-353.21,0,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Other Expense,Performance Co Exp,-2000,0,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Salaries and Wages,Earnings Offset,-7500,0,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Salaries and Wages,Merit Increase,-80.74,0,false,0
Rcc/Pac Operations Fund,Performing Arts Center,Salaries and Wages,Range Increase,-80.74,0,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Earnings Offset,-2164,0,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Merit Increase,-5.15,0,false,0
Rcc/Pac Operations Fund,RCC Downtown Amphitheatre,Salaries and Wages,Range Increase,-5.15,0,false,0
Rcc/Pac Operations Fund,RCC Facility,Direct Expenses,Rsv-Contingency,-744520.8,0,false,0
Rcc/Pac Operations Fund,RCC Facility,Salaries and Wages,Earnings Offset,-16641,0,false,0
Rcc/Pac Operations Fund,RCC Facility,Salaries and Wages,Merit Increase,-140.54,0,false,0
Rcc/Pac Operations Fund,RCC Facility,Salaries and Wages,Range Increase,-140.54,0,false,0
Rcc/Pac Operations Fund,RCC Facility,Salaries and Wages,Salary Reserve,-74125,0,false,0
